text,specialty
I have high fever with chills,Infectious Diseases
I feel bukhar aur jism mein dard,General Medicine
for last few days shortness of breath,Pulmonology
since morning wazan kam ho raha hai,Endocrinology
mujhe vomiting and nausea hai,Gastroenterology
khansi aur gala kharab ho raha hai,ENT
for last few days shortness of breath,Pulmonology
I feel peshab mein jalan,Urology
I am suffering from high fever with chills,Infectious Diseases
mujhe joint pain hai,Orthopedics
I have ghutnon mein dard,Orthopedics
for last few days knee pain,Orthopedics
mujhe anxiety and stress hai,Psychiatry
for last few days left chest pain,Cardiology
I feel severe headache,Neurology
I feel ghabrahat aur tension,Psychiatry
for last few days breathing problem at night,Pulmonology
I have ankhon mein jalan,Ophthalmology
ghutnon mein dard ho raha hai,Orthopedics
mujhe dil tez dharak raha hai hai,Cardiology
I have ankhon mein jalan,Ophthalmology
for last few days left chest pain,Cardiology
since morning jild par khujli,Dermatology
I am suffering from mahavari theek nahi,Gynecologist
I am suffering from irregular periods,Gynecologist
I feel skin rash and itching,Dermatology
for last few days chest pain,Cardiology
for last few days shortness of breath,Pulmonology
for last few days skin rash and itching,Dermatology
since morning ghabrahat aur tension,Psychiatry
khansi aur gala kharab ho raha hai,ENT
I have fever and body pain,General Medicine
I feel shortness of breath,Pulmonology
mujhe back pain hai,Physiotherapy
mahavari theek nahi ho raha hai,Gynecologist
mujhe ear pain hai,ENT
mujhe jild par khujli hai,Dermatology
I am suffering from ear pain,ENT
for last few days stomach pain,Gastroenterology
I am suffering from high fever with chills,Infectious Diseases
since morning breathing problem at night,Pulmonology
since morning ghabrahat aur tension,Psychiatry
I am suffering from jild par khujli,Dermatology
I have high fever with chills,Infectious Diseases
since morning ghabrahat aur tension,Psychiatry
for last few days skin rash and itching,Dermatology
since morning peshab mein jalan,Urology
I have vomiting and nausea,Gastroenterology
since morning wazan kam ho raha hai,Endocrinology
for last few days dil tez dharak raha hai,Cardiology
since morning ankhon mein jalan,Ophthalmology
I am suffering from seene mein dard,Cardiology
I am suffering from migraine pain,Neurology
I have stomach pain,Gastroenterology
for last few days cough and sore throat,General Medicine
I am suffering from bukhar aur jism mein dard,General Medicine
since morning ghabrahat aur tension,Psychiatry
mujhe mahavari theek nahi hai,Gynecologist
mujhe migraine pain hai,Neurology
mujhe knee pain hai,Orthopedics
I am suffering from peshab mein jalan,Urology
since morning ankhon mein jalan,Ophthalmology
I feel khansi aur gala kharab,ENT
for last few days breathing problem at night,Pulmonology
joint pain ho raha hai,Orthopedics
left chest pain ho raha hai,Cardiology
I have seene mein dard,Cardiology
for last few days acne problem,Dermatology
sar dard aur chakkar ho raha hai,Neurology
mujhe migraine pain hai,Neurology
since morning bukhar aur jism mein dard,General Medicine
mujhe skin rash and itching hai,Dermatology
since morning kan mein dard,ENT
I feel kamar mein dard,Physiotherapy
I am suffering from vomiting and nausea,Gastroenterology
I feel mahavari theek nahi,Gynecologist
since morning pait mein dard,Gastroenterology
I am suffering from seene mein dard,Cardiology
anxiety and stress ho raha hai,Psychiatry
I have shortness of breath,Pulmonology
I have weight loss,Endocrinology
I have anxiety and stress,Psychiatry
I have wet cough with phlegm,Pulmonology
I am suffering from ghutnon mein dard,Orthopedics
ghabrahat aur tension ho raha hai,Psychiatry
I am suffering from dry cough,Pulmonology
I feel left chest pain,Cardiology
since morning knee pain,Orthopedics
I have peshab mein jalan,Urology
for last few days high fever with chills,Infectious Diseases
I have severe headache,Neurology
for last few days fever and body pain,General Medicine
I have stomach pain,Gastroenterology
for last few days weight loss,Endocrinology
I feel anxiety and stress,Psychiatry
for last few days chest pain,Cardiology
mujhe chest pain hai,Cardiology
I feel mahavari theek nahi,Gynecologist
I feel weight loss,Endocrinology
for last few days burning urination,Urology
since morning kan mein dard,ENT
for last few days sar dard aur chakkar,Neurology
mujhe ghutnon mein dard hai,Orthopedics
I am suffering from mahavari theek nahi,Gynecologist
wazan kam ho raha hai ho raha hai,Endocrinology
I have cough and sore throat,General Medicine
I have ankhon mein jalan,Ophthalmology
fever and body pain ho raha hai,General Medicine
I feel bukhar aur jism mein dard,General Medicine
I feel sar dard aur chakkar,Neurology
I have skin rash and itching,Dermatology
I am suffering from ear pain,ENT
knee pain ho raha hai,Orthopedics
since morning high fever with chills,Infectious Diseases
I feel wet cough with phlegm,Pulmonology
I have mahavari theek nahi,Gynecologist
since morning bukhar aur jism mein dard,General Medicine
khansi aur gala kharab ho raha hai,ENT
I am suffering from chest pain,Cardiology
I am suffering from ghabrahat aur tension,Psychiatry
I am suffering from wet cough with phlegm,Pulmonology
I feel breathing problem at night,Pulmonology
I have chest pain,Cardiology
mujhe back pain hai,Physiotherapy
I am suffering from weight loss,Endocrinology
I have khansi aur gala kharab,ENT
I have ankhon mein jalan,Ophthalmology
I have knee pain,Orthopedics
for last few days cough and sore throat,General Medicine
I have irregular periods,Gynecologist
I feel jild par khujli,Dermatology
for last few days kan mein dard,ENT
eye pain ho raha hai,Ophthalmology
for last few days seene mein dard,Cardiology
I feel tez bukhar aur kamzori,Infectious Diseases
mujhe ghutnon mein dard hai,Orthopedics
I feel anxiety and stress,Psychiatry
I am suffering from tez bukhar aur kamzori,Infectious Diseases
I have skin rash and itching,Dermatology
since morning wazan kam ho raha hai,Endocrinology
anxiety and stress ho raha hai,Psychiatry
mujhe back pain hai,Physiotherapy
mujhe vomiting and nausea hai,Gastroenterology
for last few days severe headache,Neurology
mujhe cough and sore throat hai,General Medicine
I feel bukhar aur jism mein dard,General Medicine
since morning wazan kam ho raha hai,Endocrinology
I feel burning urination,Urology
eye pain ho raha hai,Ophthalmology
mujhe weight loss hai,Endocrinology
