Symptom,Specialty
I have a high fever and body chills,Infectious Diseases
I feel fatigue and muscle aches,General Medicine
I am experiencing shortness of breath,Pulmonology
My weight has been dropping rapidly,Endocrinology
I have nausea and vomiting,Gastroenterology
My throat is sore and I am coughing,ENT
I have persistent coughing,Pulmonology
I feel a burning sensation while urinating,Urology
I am suffering from severe fever,Infectious Diseases
My joints ache and swell,Orthopedics
I have knee pain,Orthopedics
My knees have been hurting for a week,Orthopedics
I feel anxious and stressed,Psychiatry
I have chest pain on the left side,Cardiology
I am having severe headaches,Neurology
I feel restless and tense,Psychiatry
I have difficulty breathing at night,Pulmonology
My eyes are irritated,Ophthalmology
My knees are painful,Orthopedics
I feel my heart racing,Cardiology
I have itchy eyes,Ophthalmology
My chest hurts occasionally,Cardiology
I have rashes on my skin,Dermatology
I have irregular periods,Gynecologist
My menstrual cycle is irregular,Gynecologist
I have itchy skin and redness,Dermatology
I feel chest tightness,Cardiology
I am struggling to breathe,Pulmonology
I have a skin rash,Dermatology
I am feeling anxious and tense,Psychiatry
I have a sore throat,ENT
I have fever and body pain,General Medicine
I am short of breath,Pulmonology
My back hurts,Physiotherapy
I have missed my period,Gynecologist
I have ear pain,ENT
I am experiencing itchy skin,Dermatology
My ears hurt,ENT
I have stomach pain,Gastroenterology
I am running a high fever,Infectious Diseases
I have breathing difficulties,Pulmonology
I feel nervous and anxious,Psychiatry
I have itchy skin,Dermatology
I have chills and high fever,Infectious Diseases
I feel restless and tense,Psychiatry
I have a rash on my skin,Dermatology
I feel burning during urination,Urology
I am vomiting,Gastroenterology
My weight has dropped,Endocrinology
My heart beats fast,Cardiology
My eyes are irritated,Ophthalmology
I have chest pain,Cardiology
I have migraine headaches,Neurology
I have stomach pain,Gastroenterology
I have cough and sore throat,General Medicine
I have body aches and fever,General Medicine
I feel anxious,Psychiatry
I have missed periods,Gynecologist
I have migraine headaches,Neurology
My knees are sore,Orthopedics
I am experiencing burning urination,Urology
My eyes are itchy,Ophthalmology
I have cough and sore throat,ENT
I have night-time breathing problems,Pulmonology
My joints hurt,Orthopedics
Left side chest pain,Cardiology
I feel chest tightness,Cardiology
I have acne,Dermatology
